volatility,move_ease,trap_susceptibility,king_exposure,castling_status,defending_pieces,pawn_structure,doubled_pawns,backward_pawns,pawn_majority,mobility,piece_coordination,rooks_connected,bishop_pair,overworked_defenders,checks,captures,pins,tactical_motifs,material_imbalance,phase,space_control,passed_pawns,center_control,top_moves,evals_dict,human_move,game_number
1429.9236842105263,0.3333333333333333,0.0,0,0,3,1.0,0,0,0,0.5,0.125,0,1,2,0,0,0,0,0,0,0,0,0,"['g1h3', 'g1f3', 'b1c3', 'b1a3', 'h2h3', 'g2g3', 'f2f3', 'e2e3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'h2h4', 'g2g4', 'f2f4', 'e2e4', 'd2d4', 'c2c4', 'b2b4', 'a2a4']","{""b1c3"": 17, ""e2e4"": 11, ""g1f3"": 7, ""d2d4"": 1, ""c2c4"": 0, ""g2g3"": -2, ""e2e3"": -7, ""d2d3"": -12, ""a2a3"": -30, ""b2b3"": -32, ""a2a4"": -35, ""f2f4"": -42, ""h2h3"": -43, ""c2c3"": -50, ""b1a3"": -57, ""h2h4"": -61, ""b2b4"": -80, ""f2f3"": -82, ""g1h3"": -85, ""g2g4"": -121}",g2g3,1
1442.8,0.3333333333333333,0.0,0,0,3,1.0,0,0,0,0.5,0.15625,0,1,2,0,0,0,0,0,0,0,0,0,"['g8h6', 'g8f6', 'b8c6', 'b8a6', 'h7h6', 'g7g6', 'f7f6', 'e7e6', 'd7d6', 'c7c6', 'b7b6', 'a7a6', 'h7h5', 'g7g5', 'f7f5', 'e7e5', 'd7d5', 'c7c5', 'b7b5', 'a7a5']","{""e7e5"": 19, ""d7d5"": 0, ""g8f6"": 0, ""e7e6"": -1, ""c7c6"": -3, ""b8c6"": -9, ""c7c5"": -27, ""b8a6"": -30, ""a7a6"": -31, ""h7h5"": -39, ""h7h6"": -41, ""d7d6"": -41, ""a7a5"": -50, ""g7g6"": -58, ""f7f6"": -64, ""f7f5"": -65, ""b7b6"": -78, ""b7b5"": -92, ""g8h6"": -104, ""g7g5"": -122}",d7d5,1
3924.8333333333335,0.3333333333333333,0.09523809523809523,0,0,3,0.3333333333333333,0,2,0,0.525,0.125,0,1,3,0,0,0,0,0,0,0,0,0,"['g1h3', 'g1f3', 'f1h3', 'f1g2', 'b1c3', 'b1a3', 'g3g4', 'h2h3', 'f2f3', 'e2e3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'h2h4', 'f2f4', 'e2e4', 'd2d4', 'c2c4', 'b2b4', 'a2a4']","{""g1f3"": 14, ""d2d4"": -6, ""f1g2"": -12, ""f2f4"": -21, ""d2d3"": -26, ""b1c3"": -27, ""a2a3"": -47, ""f1h3"": -51, ""b2b3"": -55, ""b2b4"": -66, ""e2e3"": -67, ""c2c3"": -73, ""g1h3"": -74, ""e2e4"": -75, ""b1a3"": -77, ""a2a4"": -78, ""h2h3"": -86, ""h2h4"": -86, ""c2c4"": -109, ""f2f3"": -142, ""g3g4"": -292}",g1f3,1
13568.818783068784,0.3333333333333333,0.07142857142857142,0,0,3,0.5,0,1,0,0.7,0.21875,0,1,1,0,0,0,0,0,0,1,0,2,"['g8h6', 'g8f6', 'e8d7', 'd8d7', 'd8d6', 'c8d7', 'c8e6', 'c8f5', 'c8g4', 'c8h3', 'b8d7', 'b8c6', 'b8a6', 'h7h6', 'g7g6', 'f7f6', 'e7e6', 'c7c6', 'b7b6', 'a7a6', 'd5d4', 'h7h5', 'g7g5', 'f7f5', 'e7e5', 'c7c5', 'b7b5', 'a7a5']","{""c7c5"": -13, ""b8d7"": -18, ""e7e6"": -18, ""g8f6"": -19, ""b8c6"": -21, ""h7h6"": -28, ""a7a5"": -32, ""c8g4"": -33, ""c8f5"": -34, ""g7g6"": -38, ""b7b6"": -39, ""c7c6"": -39, ""b8a6"": -42, ""c8d7"": -50, ""f7f6"": -50, ""a7a6"": -52, ""h7h5"": -59, ""d8d6"": -61, ""c8e6"": -67, ""f7f5"": -71, ""d8d7"": -75, ""g8h6"": -83, ""b7b5"": -86, ""d5d4"": -108, ""g7g5"": -117, ""e7e5"": -147, ""e8d7"": -234, ""c8h3"": -625}",g8f6,1
23116.442687747036,0.3333333333333333,0.2608695652173913,0,0,3,0.3333333333333333,0,2,0,0.575,0.375,0,1,6,0,0,0,0,0,0,0,0,2,"['f3g5', 'f3e5', 'f3h4', 'f3d4', 'f3g1', 'h1g1', 'f1h3', 'f1g2', 'b1c3', 'b1a3', 'g3g4', 'h2h3', 'e2e3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'h2h4', 'e2e4', 'd2d4', 'c2c4', 'b2b4', 'a2a4']","{""d2d4"": 22, ""f1g2"": 22, ""f3e5"": 7, ""d2d3"": 6, ""c2c3"": 5, ""b2b3"": 2, ""a2a4"": -1, ""a2a3"": -8, ""e2e3"": -12, ""b1a3"": -15, ""h2h3"": -17, ""c2c4"": -18, ""b1c3"": -22, ""b2b4"": -33, ""h2h4"": -44, ""f3g5"": -105, ""f3h4"": -109, ""f3g1"": -131, ""e2e4"": -140, ""h1g1"": -141, ""f3d4"": -166, ""g3g4"": -265, ""f1h3"": -689}",f1g2,1
11394.722988505748,0.3333333333333333,0.06666666666666667,0,0,3,0.5,0,1,0,0.75,0.375,0,1,6,0,0,0,0,0,0,1,0,2,"['h8g8', 'e8d7', 'd8d7', 'd8d6', 'c8d7', 'c8e6', 'c8f5', 'c8g4', 'c8h3', 'b8d7', 'b8c6', 'b8a6', 'f6g8', 'f6d7', 'f6h5', 'f6g4', 'f6e4', 'h7h6', 'g7g6', 'e7e6', 'c7c6', 'b7b6', 'a7a6', 'd5d4', 'h7h5', 'g7g5', 'e7e5', 'c7c5', 'b7b5', 'a7a5']","{""e7e6"": -17, ""g7g6"": -23, ""c7c5"": -24, ""c7c6"": -35, ""h7h6"": -37, ""a7a5"": -40, ""b8c6"": -46, ""c8f5"": -49, ""a7a6"": -49, ""b8d7"": -51, ""c8d7"": -53, ""b8a6"": -58, ""c8g4"": -67, ""h7h5"": -72, ""c8e6"": -73, ""b7b5"": -75, ""d8d6"": -75, ""d5d4"": -75, ""f6d7"": -76, ""b7b6"": -90, ""f6e4"": -104, ""h8g8"": -110, ""f6g4"": -116, ""f6h5"": -117, ""f6g8"": -119, ""d8d7"": -139, ""e7e5"": -153, ""g7g5"": -159, ""e8d7"": -233, ""c8h3"": -604}",e7e6,1
2618.2784615384617,0.3333333333333333,0.07692307692307693,0,0,3,0.3333333333333333,0,2,0,0.65,0.375,0,1,6,0,0,0,0,0,0,0,0,2,"['f3g5', 'f3e5', 'f3h4', 'f3d4', 'f3g1', 'g2h3', 'g2f1', 'h1g1', 'h1f1', 'e1f1', 'b1c3', 'b1a3', 'e1g1', 'g3g4', 'h2h3', 'e2e3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'h2h4', 'e2e4', 'd2d4', 'c2c4', 'b2b4', 'a2a4']","{""c2c4"": 10, ""d2d4"": 2, ""e1g1"": -1, ""b2b3"": -7, ""d2d3"": -10, ""c2c3"": -18, ""b1c3"": -29, ""a2a4"": -29, ""e2e3"": -34, ""f3e5"": -36, ""b1a3"": -37, ""a2a3"": -38, ""h2h4"": -43, ""h2h3"": -45, ""f3h4"": -52, ""f3g5"": -54, ""g2f1"": -55, ""f3g1"": -56, ""g2h3"": -58, ""h1f1"": -76, ""f3d4"": -83, ""e1f1"": -86, ""h1g1"": -87, ""e2e4"": -141, ""b2b4"": -149, ""g3g4"": -219}",e1g1,1
13395.676411290322,0.3333333333333333,0.09375,0,0,3,0.3333333333333333,0,2,0,0.8,0.40625,0,1,6,0,0,0,0,0,0,2,0,2,"['h8g8', 'f8e7', 'f8d6', 'f8c5', 'f8b4', 'f8a3', 'e8e7', 'e8d7', 'd8e7', 'd8d7', 'd8d6', 'c8d7', 'b8d7', 'b8c6', 'b8a6', 'f6g8', 'f6d7', 'f6h5', 'f6g4', 'f6e4', 'h7h6', 'g7g6', 'c7c6', 'b7b6', 'a7a6', 'e6e5', 'd5d4', 'h7h5', 'g7g5', 'c7c5', 'b7b5', 'a7a5']","{""f8e7"": 2, ""a7a5"": -2, ""c7c6"": -15, ""f8d6"": -15, ""a7a6"": -15, ""f8b4"": -16, ""c7c5"": -16, ""h7h6"": -16, ""f8c5"": -19, ""b8c6"": -19, ""b7b5"": -22, ""b8d7"": -43, ""f6g4"": -43, ""f6d7"": -44, ""g7g6"": -46, ""c8d7"": -47, ""d8d6"": -50, ""b7b6"": -51, ""b8a6"": -54, ""f6e4"": -54, ""h7h5"": -55, ""d8e7"": -55, ""e8e7"": -69, ""f6h5"": -78, ""d5d4"": -80, ""e8d7"": -87, ""f6g8"": -91, ""h8g8"": -103, ""d8d7"": -134, ""e6e5"": -216, ""g7g5"": -270, ""f8a3"": -626}",f8e7,1
2475.49,0.3333333333333333,0.04,0,1,3,0.3333333333333333,0,2,0,0.625,0.4375,0,1,7,0,0,0,0,0,0,0,0,2,"['f3g5', 'f3e5', 'f3h4', 'f3d4', 'f3e1', 'g2h3', 'g2h1', 'g1h1', 'f1e1', 'd1e1', 'b1c3', 'b1a3', 'g3g4', 'h2h3', 'e2e3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'h2h4', 'e2e4', 'd2d4', 'c2c4', 'b2b4', 'a2a4']","{""d2d4"": 8, ""c2c4"": 6, ""f3e5"": 4, ""b2b3"": -4, ""d2d3"": -7, ""b1a3"": -14, ""a2a4"": -15, ""c2c3"": -15, ""e2e3"": -17, ""a2a3"": -22, ""f1e1"": -25, ""f3e1"": -30, ""d1e1"": -33, ""h2h3"": -36, ""b1c3"": -36, ""f3h4"": -37, ""h2h4"": -39, ""g1h1"": -41, ""g2h1"": -51, ""g2h3"": -60, ""f3g5"": -69, ""f3d4"": -75, ""b2b4"": -103, ""e2e4"": -137, ""g3g4"": -218}",c2c4,1
17450.335115864527,0.3431372549019608,0.17647058823529413,0,0,3,0.3333333333333333,0,2,0,0.85,0.4375,0,1,7,0,1,0,0,0,0,2,0,2,"['h8g8', 'h8f8', 'e8f8', 'e8d7', 'd8d7', 'd8d6', 'c8d7', 'b8d7', 'b8c6', 'b8a6', 'e7f8', 'e7d6', 'e7c5', 'e7b4', 'e7a3', 'f6g8', 'f6d7', 'f6h5', 'f6g4', 'f6e4', 'e8g8', 'd5c4', 'h7h6', 'g7g6', 'c7c6', 'b7b6', 'a7a6', 'e6e5', 'd5d4', 'h7h5', 'g7g5', 'c7c5', 'b7b5', 'a7a5']","{""b8c6"": -7, ""e8g8"": -10, ""c7c5"": -10, ""h7h6"": -18, ""d5c4"": -24, ""b8d7"": -26, ""c7c6"": -30, ""d5d4"": -35, ""a7a5"": -43, ""b8a6"": -47, ""b7b6"": -52, ""d8d6"": -52, ""c8d7"": -52, ""a7a6"": -55, ""f6g4"": -61, ""f6d7"": -62, ""e7d6"": -65, ""f6e4"": -67, ""e7c5"": -69, ""f6h5"": -75, ""e7f8"": -77, ""f6g8"": -78, ""h7h5"": -85, ""d8d7"": -105, ""h8g8"": -113, ""e8f8"": -116, ""g7g6"": -122, ""h8f8"": -133, ""b7b5"": -173, ""e7b4"": -211, ""e6e5"": -232, ""g7g5"": -248, ""e8d7"": -289, ""e7a3"": -738}",e8g8,1
